,cavity_after,
Wavenumbers [1/cm],Transmittance,
5558.597,0.04457074,
5556.668,0.04433671,
5554.739,0.04403148,
5552.810,0.04382272,
5550.882,0.04380777,
5548.953,0.04394669,
5547.024,0.04412302,
5545.096,0.04425557,
5543.167,0.04430871,
5541.238,0.04429077,
5539.309,0.04428449,
5537.381,0.04436627,
5535.452,0.04445751,
5533.523,0.04445539,
5531.594,0.04446852,
5529.666,0.04463127,
5527.737,0.04486221,
5525.808,0.04501384,
5523.880,0.04508215,
5521.951,0.04519527,
5520.022,0.04543158,
5518.093,0.04570359,
5516.165,0.04593869,
5514.236,0.04619339,
5512.307,0.04647796,
5510.378,0.04674149,
5508.450,0.0469813,
5506.521,0.04725524,
5504.592,0.04761739,
5502.663,0.04801652,
5500.735,0.04839393,
5498.806,0.0487679,
5496.877,0.04914522,
5494.949,0.04956292,
5493.020,0.05007639,
5491.091,0.05059758,
5489.162,0.05103223,
5487.234,0.05147565,
5485.305,0.05202238,
5483.376,0.05264944,
5481.447,0.05329601,
5479.519,0.05390109,
5477.590,0.05445873,
5475.661,0.05502463,
5473.733,0.05569946,
5471.804,0.05653362,
5469.875,0.0573824,
5467.946,0.0580939,
5466.018,0.05878694,
5464.089,0.05962936,
5462.160,0.06058081,
5460.231,0.06157628,
5458.303,0.06257522,
5456.374,0.06353825,
5454.445,0.06454285,
5452.517,0.06564287,
5450.588,0.06680487,
5448.659,0.06796696,
5446.730,0.06907205,
5444.802,0.07023785,
5442.873,0.07156844,
5440.944,0.072945,
5439.015,0.07426607,
5437.087,0.07557013,
5435.158,0.07700562,
5433.229,0.07861798,
5431.301,0.08022702,
5429.372,0.08183525,
5427.443,0.08364043,
5425.514,0.0856007,
5423.586,0.08756416,
5421.657,0.08953104,
5419.728,0.09154941,
5417.799,0.09360184,
5415.871,0.09563814,
5413.942,0.09771962,
5412.013,0.09994016,
5410.085,0.102271,
5408.156,0.104703,
5406.227,0.1072177,
5404.298,0.1097549,
5402.370,0.1123775,
5400.441,0.1151403,
5398.512,0.1179638,
5396.583,0.1207312,
5394.655,0.123422,
5392.726,0.1262016,
5390.797,0.129198,
5388.868,0.1322518,
5386.940,0.1352193,
5385.011,0.138237,
5383.082,0.1413757,
5381.154,0.1444695,
5379.225,0.1474021,
5377.296,0.1503054,
5375.367,0.1533758,
5373.439,0.1565475,
5371.510,0.1596032,
5369.581,0.1625219,
5367.652,0.1654501,
5365.724,0.1683711,
5363.795,0.1710961,
5361.866,0.1736044,
5359.938,0.1760322,
5358.009,0.1783417,
5356.080,0.1803683,
5354.151,0.1822348,
5352.223,0.1841706,
5350.294,0.1860459,
