,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
2893.093,2.310201,
2889.236,2.412336,
2885.378,2.499604,
2881.521,2.572541,
2877.663,2.631726,
2873.806,2.678157,
2869.949,2.713227,
2866.091,2.738942,
2862.234,2.758123,
2858.376,2.774709,
2854.519,2.793619,
2850.661,2.819256,
2846.804,2.854766,
2842.946,2.903132,
2839.089,2.966094,
2835.231,3.04085,
2831.374,3.12006,
2827.517,3.19561,
2823.659,3.262168,
2819.802,3.317563,
2815.944,3.36121,
2812.087,3.393058,
2808.229,3.413071,
2804.372,3.42099,
2800.514,3.416783,
2796.657,3.401262,
2792.799,3.376696,
2788.942,3.348335,
2785.085,3.32709,
2781.227,3.329852,
2777.370,3.370755,
2773.512,3.447901,
2769.655,3.542717,
2765.797,3.63427,
2761.940,3.711189,
2758.082,3.77173,
2754.225,3.818396,
2750.367,3.854173,
2746.510,3.881544,
2742.652,3.903051,
2738.795,3.921017,
2734.938,3.936249,
2731.080,3.948629,
2727.223,3.958673,
2723.365,3.967296,
2719.508,3.974949,
2715.650,3.981272,
2711.793,3.985591,
2707.935,3.988163,
2704.078,3.990472,
2700.220,3.994705,
2696.363,4.003044,
2692.506,4.016234,
2688.648,4.032519,
2684.791,4.048629,
2680.933,4.061933,
2677.076,4.071486,
2673.218,4.07734,
2669.361,4.079793,
2665.503,4.079782,
2661.646,4.079281,
2657.788,4.080532,
2653.931,4.084754,
2650.073,4.091649,
2646.216,4.099845,
2642.359,4.108139,
2638.501,4.116357,
2634.644,4.124439,
2630.786,4.131831,
2626.929,4.138029,
2623.071,4.142459,
2619.214,4.144468,
2615.356,4.143876,
2611.499,4.140358,
2607.641,4.132496,
2603.784,4.118207,
2599.927,4.094357,
2596.069,4.055887,
2592.212,3.99741,
2588.354,3.916935,
2584.497,3.821916,
2580.639,3.736299,
2576.782,3.697413,
2572.924,3.730121,
2569.067,3.819264,
2565.209,3.921816,
2561.352,4.005396,
2557.494,4.06273,
2553.637,4.098961,
2549.780,4.120391,
2545.922,4.132048,
2542.065,4.13728,
2538.207,4.137705,
2534.350,4.134917,
2530.492,4.131055,
2526.635,4.127434,
2522.777,4.123816,
2518.920,4.118892,
2515.062,4.111427,
2511.205,4.101052,
2507.348,4.089449,
2503.490,4.080747,
2499.633,4.078937,
2495.775,4.084733,
2491.918,4.095336,
2488.060,4.107138,
2484.203,4.117432,
2480.345,4.12429,
2476.488,4.126493,
2472.630,4.123513,
2468.773,4.114594,
2464.916,4.097691,
2461.058,4.069603,
2457.201,4.026955,
2453.343,3.969923,
2449.486,3.907605,
2445.628,3.857466,
2441.771,3.835168,
2437.913,3.844807,
2434.056,3.878067,
2430.198,3.919927,
2426.341,3.959688,
2422.483,3.996598,
2418.626,4.0334,
2414.769,4.069378,
2410.911,4.10095,
2407.054,4.126066,
2403.196,4.145008,
2399.339,4.159047,
2395.481,4.169227,
2391.624,4.174791,
2387.766,4.169866,
2383.909,4.138757,
2380.051,4.058788,
2376.194,3.917294,
2372.337,3.732187,
2368.479,3.551047,
2364.622,3.427506,
2360.764,3.401587,
2356.907,3.492384,
2353.049,3.654268,
2349.192,3.7511,
2345.334,3.701112,
2341.477,3.591361,
2337.619,3.53359,
2333.762,3.54122,
2329.904,3.589296,
2326.047,3.662972,
2322.190,3.750497,
2318.332,3.839275,
2314.475,3.9177,
2310.617,3.978811,
2306.760,4.021269,
2302.902,4.046999,
2299.045,4.058838,
2295.187,4.059864,
2291.330,4.05251,
2287.472,4.037334,
2283.615,4.012908,
2279.758,3.978621,
2275.900,3.936873,
2272.043,3.892107,
2268.185,3.851255,
2264.328,3.823856,
2260.470,3.818208,
2256.613,3.835701,
2252.755,3.869011,
2248.898,3.905837,
2245.040,3.935533,
2241.183,3.954629,
2237.326,3.96666,
2233.468,3.978176,
2229.611,3.994756,
2225.753,4.018284,
2221.896,4.046278,
2218.038,4.073667,
2214.181,4.096168,
2210.323,4.112265,
2206.466,4.123157,
2202.608,4.131549,
2198.751,4.139391,
2194.893,4.146085,
2191.036,4.14931,
2187.179,4.147253,
2183.321,4.139196,
2179.464,4.124396,
2175.606,4.100714,
