;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
2522,435;0,439935;
2524,363;0,447361;
2526,292;0,456157;
2528,220;0,466878;
2530,149;0,479993;
2532,077;0,495808;
2534,006;0,514459;
2535,934;0,535948;
2537,862;0,560228;
2539,791;0,587265;
2541,719;0,617094;
2543,648;0,649866;
2545,576;0,685899;
2547,505;0,725735;
2549,433;0,770163;
2551,362;0,820207;
2553,290;0,877083;
2555,219;0,942169;
2557,147;1,01703;
2559,076;1,10353;
2561,004;1,20395;
2562,933;1,32124;
2564,861;1,45915;
2566,790;1,62252;
2568,718;1,81735;
2570,646;2,05084;
2572,575;2,33111;
2574,503;2,66662;
2576,432;3,0655;
2578,360;3,53448;
2580,289;4,07756;
2582,217;4,69386;
2584,146;5,37464;
2586,074;6,09987;
2588,003;6,83543;
2589,931;7,53298;
2591,860;8,13361;
2593,788;8,57612;
2595,717;8,80828;
2597,645;8,79837;
2599,573;8,54333;
2601,502;8,07057;
2603,430;7,43253;
2605,359;6,69554;
2607,287;5,92661;
2609,216;5,18198;
2611,144;4,50029;
2613,073;3,90115;
2615,001;3,38827;
2616,930;2,955;
2618,858;2,59004;
2620,787;2,28185;
2622,715;2,02077;
2624,644;1,79939;
2626,572;1,6119;
2628,500;1,45316;
2630,429;1,31834;
2632,357;1,20293;
2634,286;1,1031;
2636,214;1,01602;
2638,143;0,939861;
2640,071;0,873536;
2642,000;0,81633;
2643,928;0,767507;
2645,857;0,726096;
2647,785;0,690871;
2649,714;0,660484;
2651,642;0,633685;
2653,571;0,6095;
2655,499;0,58732;
2657,427;0,566866;
2659,356;0,548089;
2661,284;0,531052;
2663,213;0,515855;
2665,141;0,502585;
2667,070;0,491265;
2668,998;0,481796;
2670,927;0,47394;
2672,855;0,467411;
2674,784;0,462049;
2676,712;0,458012;
2678,641;0,455819;
2680,569;0,456193;
2682,498;0,459769;
2684,426;0,466835;
2686,354;0,477208;
2688,283;0,490214;
2690,211;0,504582;
2692,140;0,518182;
2694,068;0,527718;
2695,997;0,52879;
2697,925;0,516667;
2699,854;0,487786;
2701,782;0,441448;
2703,711;0,380816;
2705,639;0,312533;
2707,568;0,24496;
2709,496;0,185821;
2711,425;0,140324;
2713,353;0,110471;
2715,281;0,0955913;
2717,210;0,0935281;
2719,138;0,101768;
2721,067;0,118042;
2722,995;0,140382;
2724,924;0,166923;
2726,852;0,195799;
2728,781;0,225264;
2730,709;0,25393;
2732,638;0,280919;
2734,566;0,305811;
2736,495;0,32844;
2738,423;0,348682;
2740,352;0,366331;
2742,280;0,381089;
2744,208;0,392581;
2746,137;0,400365;
2748,065;0,40394;
2749,994;0,402821;
2751,922;0,396693;
2753,851;0,385556;
2755,779;0,369755;
2757,708;0,349812;
2759,636;0,326182;
2761,565;0,299089;
2763,493;0,268649;
2765,422;0,235217;
2767,350;0,199773;
2769,279;0,164039;
2771,207;0,130175;
2773,135;0,100185;
2775,064;0,0753328;
2776,992;0,0558911;
2778,921;0,0413133;
2780,849;0,0306719;
2782,778;0,0230783;
2784,706;0,0178812;
2786,635;0,0146249;
2788,563;0,0129044;
2790,492;0,0122838;
2792,420;0,0123458;
2794,349;0,0128238;
2796,277;0,0137012;
2798,206;0,015203;
2800,134;0,0176844;
2802,062;0,0214972;
2803,991;0,0269241;
2805,919;0,0342277;
2807,848;0,0437941;
2809,776;0,0562889;
2811,705;0,0727091;
2813,633;0,0942333;
2815,562;0,121853;
2817,490;0,155903;
2819,419;0,195719;
2821,347;0,239663;
2823,276;0,285575;
2825,204;0,331514;
2827,133;0,376424;
2829,061;0,420445;
2830,989;0,464741;
2832,918;0,511022;
2834,846;0,561075;
2836,775;0,616551;
2838,703;0,679096;
2840,632;0,750657;
2842,560;0,833813;
2844,489;0,931989;
2846,417;1,04957;
2848,346;1,19196;
2850,274;1,36561;
2852,203;1,57804;
2854,131;1,83779;
2856,060;2,15431;
2857,988;2,53729;
2859,916;2,99537;
2861,845;3,53333;
2863,773;4,14824;
2865,702;4,82515;
2867,630;5,53437;
2869,559;6,23212;
2871,487;6,86553;
2873,416;7,38082;
2875,344;7,73249;
2877,273;7,89082;
2879,201;7,84633;
2881,130;7,61058;
2883,058;7,21366;
2884,987;6,69857;
2886,915;6,11354;
2888,843;5,50413;
2890,772;4,90743;
2892,700;4,34941;
2894,629;3,8454;
2896,557;3,40211;
2898,486;3,01997;
2900,414;2,69513;
2902,343;2,42108;
2904,271;2,19024;
2906,200;1,99519;
2908,128;1,82957;
2910,057;1,68833;
2911,985;1,5674;
2913,914;1,46338;
2915,842;1,37325;
2917,770;1,29442;
2919,699;1,22483;
2921,627;1,16303;
2923,556;1,10808;
2925,484;1,05933;
2927,413;1,01626;
2929,341;0,978322;
2931,270;0,944935;
2933,198;0,915477;
2935,127;0,889341;
2937,055;0,866013;
2938,984;0,845149;
2940,912;0,826606;
2942,841;0,810401;
2944,769;0,796598;
2946,697;0,785176;
2948,626;0,775959;
2950,554;0,768658;
2952,483;0,762978;
2954,411;0,758757;
2956,340;0,756009;
2958,268;0,754866;
2960,197;0,75544;
2962,125;0,757718;
2964,054;0,761557;
2965,982;0,766797;
2967,911;0,773406;
2969,839;0,781535;
2971,768;0,791433;
2973,696;0,80328;
